epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
13,190.925,1.43839,0.89852,1.18098,0.89876,0.8473,0.9173,0.58332,1.28048,0.84276,1.10457,0.00312851,0.00312851,0.00312851
14,379.447,1.42417,0.87994,1.17421,0.9002,0.85787,0.92259,0.59214,1.2634,0.81386,1.0964,0.00312458,0.00312458,0.00312458
15,566.786,1.40592,0.8595,1.16377,0.90317,0.86235,0.92504,0.59958,1.24467,0.79491,1.08867,0.00312065,0.00312065,0.00312065
16,754.827,1.38812,0.84241,1.15374,0.90424,0.86854,0.9276,0.60583,1.22975,0.76729,1.0803,0.00311672,0.00311672,0.00311672
17,942.339,1.36898,0.82315,1.14583,0.90624,0.87263,0.93002,0.61206,1.21805,0.75148,1.07524,0.00311279,0.00311279,0.00311279
18,1130.03,1.3594,0.81143,1.13861,0.91043,0.87186,0.9318,0.61558,1.20999,0.74489,1.07138,0.00310886,0.00310886,0.00310886
19,1317.33,1.34378,0.79608,1.13387,0.90867,0.8778,0.93366,0.62021,1.20122,0.73175,1.06744,0.00310494,0.00310494,0.00310494
20,1503.68,1.33168,0.78436,1.12855,0.91156,0.87909,0.93547,0.62385,1.19474,0.72229,1.06467,0.00310101,0.00310101,0.00310101
21,1689.89,1.31711,0.77237,1.12347,0.91212,0.88044,0.93666,0.62687,1.18757,0.71591,1.0622,0.00309708,0.00309708,0.00309708
22,1877.11,1.30281,0.75824,1.11929,0.91425,0.881,0.93757,0.62991,1.18081,0.70754,1.05988,0.00309315,0.00309315,0.00309315
23,2065.08,1.29533,0.75188,1.11223,0.91634,0.88217,0.93799,0.63244,1.17408,0.70107,1.05694,0.00308922,0.00308922,0.00308922
24,2252.05,1.28207,0.7421,1.10733,0.91585,0.88529,0.93959,0.63451,1.16848,0.69504,1.05487,0.00308529,0.00308529,0.00308529
25,2443.63,1.27217,0.73232,1.10392,0.91611,0.88794,0.94036,0.63758,1.16357,0.68988,1.05259,0.00308136,0.00308136,0.00308136
26,2630.5,1.26393,0.72341,1.09906,0.91748,0.88896,0.94089,0.63956,1.15788,0.68449,1.0506,0.00307743,0.00307743,0.00307743
27,2817.57,1.2553,0.71665,1.09534,0.919,0.88897,0.94203,0.64218,1.15248,0.679,1.04806,0.0030735,0.0030735,0.0030735
28,3004.92,1.24629,0.71221,1.09133,0.92174,0.8891,0.94276,0.64417,1.1475,0.67425,1.04578,0.00306957,0.00306957,0.00306957
29,3191.71,1.2393,0.70201,1.08717,0.92307,0.8895,0.94377,0.64644,1.14216,0.66812,1.04366,0.00306564,0.00306564,0.00306564
30,3379.15,1.22813,0.69512,1.08127,0.92485,0.88977,0.94438,0.6491,1.13661,0.66239,1.04138,0.00306171,0.00306171,0.00306171
31,3566.37,1.22436,0.69283,1.08003,0.92559,0.8909,0.94546,0.65156,1.1317,0.65724,1.0393,0.00305778,0.00305778,0.00305778
32,3753.4,1.21317,0.68069,1.0753,0.92755,0.89121,0.94676,0.65446,1.12674,0.65094,1.03754,0.00305385,0.00305385,0.00305385
33,3939.97,1.2042,0.6752,1.07272,0.92923,0.89121,0.94753,0.65707,1.12214,0.64474,1.03565,0.00304992,0.00304992,0.00304992
34,4127.16,1.20137,0.6745,1.07179,0.92956,0.89214,0.94804,0.65913,1.11612,0.63989,1.03354,0.00304599,0.00304599,0.00304599
35,4313.74,1.19065,0.66556,1.06751,0.93011,0.89516,0.94871,0.66212,1.11093,0.63475,1.03136,0.00304206,0.00304206,0.00304206
36,4500.46,1.18743,0.66167,1.06802,0.93169,0.89505,0.94898,0.66418,1.10553,0.62953,1.02926,0.00303813,0.00303813,0.00303813
37,4687.06,1.18178,0.65826,1.0599,0.93151,0.89632,0.94928,0.66682,1.10115,0.62439,1.02733,0.0030342,0.0030342,0.0030342
38,4873.72,1.17069,0.65292,1.05636,0.93367,0.89508,0.95038,0.66906,1.09547,0.61933,1.025,0.00303027,0.00303027,0.00303027
39,5060.56,1.16716,0.64976,1.05675,0.93414,0.897,0.95168,0.67162,1.09032,0.61443,1.02294,0.00302634,0.00302634,0.00302634
40,5246.6,1.16166,0.64308,1.05159,0.93478,0.89877,0.95216,0.67383,1.08551,0.60978,1.02109,0.00302241,0.00302241,0.00302241
41,5433.36,1.15541,0.63766,1.05028,0.93679,0.90027,0.9528,0.67584,1.08042,0.60495,1.019,0.00301848,0.00301848,0.00301848
42,5620.07,1.15413,0.63904,1.05084,0.93763,0.90171,0.95352,0.67771,1.07502,0.60101,1.01715,0.00301455,0.00301455,0.00301455
43,5806.27,1.14302,0.62945,1.04687,0.93729,0.90401,0.95452,0.6796,1.07023,0.59657,1.01494,0.00301062,0.00301062,0.00301062
44,5993.35,1.14625,0.62839,1.04627,0.93807,0.90437,0.95487,0.68228,1.06495,0.59302,1.01278,0.00300669,0.00300669,0.00300669
45,6180.32,1.13476,0.62345,1.04408,0.93839,0.90544,0.95532,0.68417,1.06085,0.58899,1.01059,0.00300276,0.00300276,0.00300276
46,6366.56,1.13197,0.62248,1.0409,0.93831,0.90703,0.95574,0.68576,1.05637,0.58579,1.00854,0.00299883,0.00299883,0.00299883
47,6552.89,1.12364,0.61826,1.03506,0.94071,0.90632,0.95607,0.68751,1.05227,0.58225,1.00655,0.0029949,0.0029949,0.0029949
48,6739.66,1.12183,0.6174,1.03903,0.94346,0.90645,0.95654,0.68943,1.04805,0.57887,1.00459,0.00299097,0.00299097,0.00299097
