epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss
13,1.5710408687591553,0.9047777056694031,1.1757830381393433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,1.336878776550293,0.7454001903533936,1.1434876918792725,0.89876,0.8473,0.9173,0.58332,1.28048,0.84276,1.10457
15,1.4276832342147827,0.9094964265823364,1.157705545425415,0.9002,0.85787,0.92259,0.59214,1.2634,0.81386,1.0964
16,1.2309256792068481,0.9482188820838928,1.0692579746246338,0.90317,0.86235,0.92504,0.59958,1.24467,0.79491,1.08867
17,1.2940646409988403,0.9374604821205139,1.134340763092041,0.90424,0.86854,0.9276,0.60583,1.22975,0.76729,1.0803
18,1.4399526119232178,0.8720029592514038,1.1549479961395264,0.90624,0.87263,0.93002,0.61206,1.21805,0.75148,1.07524
19,1.4014948606491089,0.811360239982605,1.183423638343811,0.91043,0.87186,0.9318,0.61558,1.20999,0.74489,1.07138
20,1.3576405048370361,0.7925867438316345,1.1464264392852783,0.90867,0.8778,0.93366,0.62021,1.20122,0.73175,1.06744
21,1.2910046577453613,0.7243423461914062,1.1009529829025269,0.91156,0.87909,0.93547,0.62385,1.19474,0.72229,1.06467
22,1.2678778171539307,0.7836993932723999,1.1168935298919678,0.91212,0.88044,0.93666,0.62687,1.18757,0.71591,1.0622
23,1.2620192766189575,0.6430248022079468,0.9970638155937195,0.91425,0.881,0.93757,0.62991,1.18081,0.70754,1.05988
24,1.321908712387085,0.7115013599395752,1.0783196687698364,0.91634,0.88217,0.93799,0.63244,1.17408,0.70107,1.05694
25,1.2577718496322632,0.8232085704803467,1.1460349559783936,0.91585,0.88529,0.93959,0.63451,1.16848,0.69504,1.05487
26,1.3022172451019287,0.6160061359405518,1.0869048833847046,0.91611,0.88794,0.94036,0.63758,1.16357,0.68988,1.05259
27,1.2170261144638062,0.6935856938362122,1.1040947437286377,0.91748,0.88896,0.94089,0.63956,1.15788,0.68449,1.0506
28,1.1506187915802002,0.7151166796684265,1.1378227472305298,0.919,0.88897,0.94203,0.64218,1.15248,0.679,1.04806
29,1.2624537944793701,0.7330713868141174,1.0688350200653076,0.92174,0.8891,0.94276,0.64417,1.1475,0.67425,1.04578
30,1.2537460327148438,0.6716247200965881,1.0933769941329956,0.92307,0.8895,0.94377,0.64644,1.14216,0.66812,1.04366
31,1.077812910079956,0.6436397433280945,0.9879306554794312,0.92485,0.88977,0.94438,0.6491,1.13661,0.66239,1.04138
32,1.3575671911239624,0.7095315456390381,1.1478676795959473,0.92559,0.8909,0.94546,0.65156,1.1317,0.65724,1.0393
33,1.192248821258545,0.606098473072052,1.0422337055206299,0.92755,0.89121,0.94676,0.65446,1.12674,0.65094,1.03754
34,1.3801194429397583,0.7287734746932983,1.1255125999450684,0.92923,0.89121,0.94753,0.65707,1.12214,0.64474,1.03565
35,1.2571196556091309,0.6286547780036926,1.110348105430603,0.92956,0.89214,0.94804,0.65913,1.11612,0.63989,1.03354
36,1.3137834072113037,0.9133135676383972,1.1209886074066162,0.93011,0.89516,0.94871,0.66212,1.11093,0.63475,1.03136
37,1.1182222366333008,0.5848104953765869,1.0117838382720947,0.93169,0.89505,0.94898,0.66418,1.10553,0.62953,1.02926
38,1.1518816947937012,0.6174670457839966,1.018595576286316,0.93151,0.89632,0.94928,0.66682,1.10115,0.62439,1.02733
39,1.018145203590393,0.5465704798698425,1.0176490545272827,0.93367,0.89508,0.95038,0.66906,1.09547,0.61933,1.025
40,1.0656707286834717,0.6204736232757568,1.0197173357009888,0.93414,0.897,0.95168,0.67162,1.09032,0.61443,1.02294
41,0.9807960987091064,0.5740222334861755,1.0255374908447266,0.93478,0.89877,0.95216,0.67383,1.08551,0.60978,1.02109
42,1.1283957958221436,0.6344636082649231,1.0335214138031006,0.93679,0.90027,0.9528,0.67584,1.08042,0.60495,1.019
43,0.9061399102210999,0.5878520011901855,0.9422868490219116,0.93763,0.90171,0.95352,0.67771,1.07502,0.60101,1.01715
44,1.0709115266799927,0.556403398513794,1.0244255065917969,0.93729,0.90401,0.95452,0.6796,1.07023,0.59657,1.01494
45,1.132582426071167,0.6097885966300964,1.0449663400650024,0.93807,0.90437,0.95487,0.68228,1.06495,0.59302,1.01278
46,1.0889289379119873,0.6219190955162048,1.0034254789352417,0.93839,0.90544,0.95532,0.68417,1.06085,0.58899,1.01059
47,1.1816257238388062,0.7077765464782715,1.0980308055877686,0.93831,0.90703,0.95574,0.68576,1.05637,0.58579,1.00854
48,1.07460355758667,0.5799935460090637,1.010911464691162,0.94071,0.90632,0.95607,0.68751,1.05227,0.58225,1.00655
49,1.2417867183685303,0.6235082745552063,1.1886541843414307,0.94346,0.90645,0.95654,0.68943,1.04805,0.57887,1.00459
50,1.0226771831512451,0.5445800423622131,0.9959288835525513,0.9441,0.90694,0.9576,0.69145,1.04433,0.57528,1.00294
51,1.264642357826233,0.9078937768936157,1.1347275972366333,0.94312,0.9086,0.95764,0.69287,1.04065,0.57205,1.00125
52,1.0485740900039673,0.5531855225563049,1.015701413154602,0.94465,0.90852,0.95787,0.69458,1.03599,0.56939,0.99947
53,0.9993043541908264,0.5361130237579346,1.0678963661193848,0.94674,0.90768,0.9583,0.69601,1.03161,0.56622,0.99767
54,1.2714455127716064,0.6469261050224304,1.001556396484375,0.94554,0.91095,0.95861,0.69707,1.02759,0.56378,0.99613
55,1.042041301727295,0.552099883556366,0.9846135377883911,0.94479,0.91218,0.95903,0.69845,1.02364,0.56114,0.99444
56,1.203596591949463,0.6077292561531067,1.120497226715088,0.94634,0.91177,0.95987,0.70002,1.01997,0.55881,0.99292
57,1.1260713338851929,0.5578886866569519,1.0301893949508667,0.94768,0.9115,0.96011,0.70137,1.01685,0.55581,0.99167
58,1.154693841934204,0.6553925275802612,1.019392967224121,0.94788,0.91218,0.96044,0.70261,1.0134,0.55332,0.98998
59,1.0058720111846924,0.5428207516670227,1.0096648931503296,0.94752,0.91354,0.96069,0.70401,1.01023,0.5511,0.98848
60,0.9460464119911194,0.4957141876220703,0.978665828704834,0.94721,0.91402,0.96106,0.70559,1.00651,0.54847,0.98695
61,1.1699142456054688,0.6527259349822998,0.986630916595459,0.94779,0.9147,0.96159,0.70716,1.00319,0.54626,0.98547
62,1.0140380859375,0.6338962316513062,1.0163824558258057,0.94907,0.91524,0.9616,0.70822,1.00029,0.5439,0.98425
63,1.0833731889724731,0.7408655881881714,1.0126031637191772,0.95008,0.91467,0.96184,0.70945,0.99806,0.54232,0.98319
64,1.2064802646636963,0.6993984580039978,1.0552115440368652,0.95122,0.91463,0.96235,0.71071,0.99563,0.54049,0.98203
65,1.0657085180282593,0.5847393274307251,0.993403434753418,0.94996,0.9163,0.96229,0.71171,0.99299,0.53819,0.98096
66,1.0262843370437622,0.6107781529426575,1.0037944316864014,0.94997,0.91781,0.96258,0.71311,0.99035,0.53638,0.97988
67,1.083401083946228,0.5702049732208252,1.0486412048339844,0.9514,0.91742,0.96257,0.71404,0.98825,0.53425,0.97901
68,1.0628741979599,0.5879166722297668,1.019986629486084,0.94996,0.91974,0.96277,0.71521,0.98566,0.53237,0.97816
69,0.9657505750656128,0.5552889108657837,0.9643434286117554,0.94907,0.91987,0.96306,0.71613,0.98342,0.53127,0.97739
70,1.0803859233856201,0.5711617469787598,1.0274250507354736,0.94892,0.92073,0.96314,0.71694,0.98107,0.53004,0.97657
71,1.0818936824798584,0.5403934717178345,0.9311723113059998,0.94788,0.92212,0.96304,0.71798,0.97767,0.52811,0.9756
72,0.9731274247169495,0.5822082161903381,0.9996526837348938,0.95111,0.92076,0.96361,0.71918,0.97517,0.52696,0.97455
73,1.0799121856689453,0.5616317391395569,0.960299015045166,0.95101,0.92105,0.96345,0.71972,0.97271,0.5253,0.97358
74,1.0842325687408447,0.5227639675140381,1.029357671737671,0.95054,0.92151,0.96333,0.7203,0.97063,0.5237,0.97274
75,0.984697699546814,0.4634321630001068,1.0661725997924805,0.95135,0.92069,0.9641,0.72129,0.96899,0.52163,0.97201
76,0.9828358292579651,0.5245280265808105,1.010037899017334,0.95298,0.92024,0.96412,0.72195,0.96683,0.51991,0.97115
77,1.1482971906661987,0.5805224776268005,1.0563817024230957,0.95278,0.92076,0.96417,0.72326,0.96479,0.51819,0.97039
78,1.0153948068618774,0.5465640425682068,0.9463021755218506,0.95239,0.92202,0.96447,0.72414,0.9626,0.51678,0.96955
79,1.0836492776870728,0.4769909977912903,1.001990556716919,0.95191,0.92253,0.96483,0.72491,0.96055,0.51567,0.96877
80,1.0864243507385254,0.5228740572929382,1.01707923412323,0.95082,0.92394,0.96506,0.72567,0.95826,0.51438,0.96771
81,1.141905426979065,0.8084717988967896,1.087929606437683,0.95123,0.92355,0.96506,0.72614,0.95658,0.51265,0.96688
82,0.9605855345726013,0.5194863677024841,0.9858485460281372,0.95015,0.92423,0.96507,0.72743,0.95478,0.51136,0.96614
83,1.022693395614624,0.5418098568916321,1.0007107257843018,0.94999,0.92589,0.96532,0.72808,0.95299,0.51049,0.96531
84,0.9516588449478149,0.5014858841896057,1.043952465057373,0.95165,0.92525,0.96528,0.72859,0.95056,0.509,0.96451
85,1.0762355327606201,0.4626161456108093,1.0615030527114868,0.95268,0.92508,0.96535,0.72942,0.94799,0.5073,0.96361
86,0.9949852228164673,0.4984734058380127,1.0390888452529907,0.95326,0.9245,0.96562,0.73052,0.94612,0.50567,0.96276
87,0.9821860790252686,0.5261633992195129,1.0023001432418823,0.95134,0.92631,0.96579,0.73154,0.94405,0.50524,0.96196
88,1.093673586845398,0.5598064064979553,1.0582787990570068,0.95119,0.92682,0.96594,0.73192,0.94324,0.5045,0.96162
89,1.0910537242889404,0.7212716937065125,1.0069090127944946,0.95252,0.92605,0.9659,0.7324,0.94185,0.50407,0.96104
90,0.908409595489502,0.48126745223999023,0.9339264631271362,0.95215,0.92653,0.96574,0.73287,0.9407,0.50395,0.96012
91,0.906832754611969,0.5112918615341187,0.9894130229949951,0.95108,0.92709,0.96569,0.73325,0.93935,0.50268,0.95961
