epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,210.299,1.64239,4.59438,1.66881,0.42257,0.21492,0.20901,0.0725,2.07215,9.07152,2.2804,0.000715066,0.000715066,0.0757435
2,416.711,1.57848,4.12955,1.6218,0.55987,0.35448,0.38846,0.1529,1.62494,6.52356,1.72607,0.00142918,0.00142918,0.0514577
3,629.279,1.54429,3.9317,1.59876,0.60722,0.39562,0.43473,0.17978,1.53632,9.96547,1.6526,0.00214152,0.00214152,0.02717
4,836.51,1.51027,3.76299,1.57214,0.64934,0.40187,0.47556,0.20576,1.51973,5.07342,1.65067,0.00285208,0.00285208,0.00288056
5,1016.73,1.45903,3.52706,1.52449,0.71239,0.47913,0.56057,0.25419,1.43361,5.72729,1.5441,0.00284935,0.00284935,0.00284935
6,1196.93,1.40775,3.2931,1.48146,0.74217,0.54146,0.64028,0.30395,1.36183,4.7659,1.49981,0.00284581,0.00284581,0.00284581
7,1367.87,1.36312,3.13487,1.44923,0.77902,0.57526,0.67664,0.33228,1.31009,3.60798,1.44605,0.00284227,0.00284227,0.00284227
8,1568.2,1.32343,2.96868,1.41483,0.79781,0.61863,0.71968,0.36225,1.27697,3.55223,1.42753,0.00283872,0.00283872,0.00283872
9,1775.42,1.30325,2.86923,1.39302,0.80053,0.64452,0.74544,0.3889,1.22453,3.22514,1.37703,0.00283518,0.00283518,0.00283518
10,1939.91,1.27222,2.75504,1.36827,0.82017,0.66788,0.77246,0.40971,1.20529,3.17959,1.35677,0.00283163,0.00283163,0.00283163
11,2104.24,1.25328,2.66952,1.3509,0.83099,0.6865,0.78557,0.42939,1.16976,2.92052,1.32988,0.00282809,0.00282809,0.00282809
12,2312.34,1.23246,2.58704,1.33214,0.84172,0.70271,0.80401,0.44557,1.13916,2.83061,1.30902,0.00282455,0.00282455,0.00282455
13,2507.58,1.20628,2.50142,1.31318,0.85557,0.7153,0.81777,0.46226,1.12305,2.69658,1.28567,0.002821,0.002821,0.002821
14,2660.88,1.1942,2.44643,1.29747,0.85733,0.72697,0.82671,0.47327,1.09333,2.50733,1.26326,0.00281746,0.00281746,0.00281746
15,2814.57,1.16995,2.38247,1.28742,0.86765,0.73967,0.83816,0.48585,1.07902,2.45992,1.25349,0.00281392,0.00281392,0.00281392
16,2982.07,1.1632,2.34674,1.27788,0.87009,0.7446,0.84462,0.49421,1.06473,2.39651,1.24267,0.00281037,0.00281037,0.00281037
17,3167.4,1.14205,2.28692,1.26383,0.87711,0.75267,0.85113,0.50344,1.05162,2.33501,1.23156,0.00280683,0.00280683,0.00280683
