epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss
1,1.5667119026184082,4.116004943847656,1.6569753885269165,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.6029666662216187,3.9059834480285645,1.5161540508270264,0.42257,0.21492,0.20901,0.0725,2.07215,9.07152,2.2804
3,1.55501389503479,3.7088711261749268,1.6634137630462646,0.55987,0.35448,0.38846,0.1529,1.62494,6.52356,1.72607
4,1.4842897653579712,3.371080160140991,1.4682106971740723,0.60722,0.39562,0.43473,0.17978,1.53632,9.96547,1.6526
5,1.4291222095489502,3.2936477661132812,1.484291434288025,0.64934,0.40187,0.47556,0.20576,1.51973,5.07342,1.65067
6,1.4282512664794922,3.1150829792022705,1.4744272232055664,0.71239,0.47913,0.56057,0.25419,1.43361,5.72729,1.5441
7,1.4606667757034302,3.3164026737213135,1.5217530727386475,0.74217,0.54146,0.64028,0.30395,1.36183,4.7659,1.49981
8,1.4137513637542725,2.9087507724761963,1.3639740943908691,0.77902,0.57526,0.67664,0.33228,1.31009,3.60798,1.44605
9,1.2548372745513916,2.4976236820220947,1.4020997285842896,0.79781,0.61863,0.71968,0.36225,1.27697,3.55223,1.42753
10,1.208545207977295,2.5938100814819336,1.4195353984832764,0.80053,0.64452,0.74544,0.3889,1.22453,3.22514,1.37703
11,1.2156295776367188,2.784393072128296,1.349234700202942,0.82017,0.66788,0.77246,0.40971,1.20529,3.17959,1.35677
12,1.1739121675491333,2.223726749420166,1.3308767080307007,0.83099,0.6865,0.78557,0.42939,1.16976,2.92052,1.32988
13,1.200019121170044,2.4285919666290283,1.395579218864441,0.84172,0.70271,0.80401,0.44557,1.13916,2.83061,1.30902
14,1.159081220626831,2.967597723007202,1.1951948404312134,0.85557,0.7153,0.81777,0.46226,1.12305,2.69658,1.28567
15,1.1915267705917358,2.2250468730926514,1.3221070766448975,0.85733,0.72697,0.82671,0.47327,1.09333,2.50733,1.26326
16,1.160839557647705,2.4176762104034424,1.3357431888580322,0.86765,0.73967,0.83816,0.48585,1.07902,2.45992,1.25349
17,1.1551250219345093,2.922952175140381,1.2894139289855957,0.87009,0.7446,0.84462,0.49421,1.06473,2.39651,1.24267
18,1.1355724334716797,1.9734275341033936,1.2102625370025635,0.87711,0.75267,0.85113,0.50344,1.05162,2.33501,1.23156
