epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.922,2.11251,2.15744,1.49845,0.7288,0.55804,0.64082,0.28541,1.95649,1.91755,1.37683,0.00105735,0.00105735,0.067762
2,336.483,1.89038,1.51242,1.37239,0.7534,0.60637,0.69737,0.33203,1.84482,2.15201,1.34632,0.00211329,0.00211329,0.0354846
3,508.354,1.8531,1.45977,1.3697,0.71978,0.57805,0.64802,0.29647,1.93111,2.35143,1.42081,0.00316661,0.00316661,0.00320458
4,676.949,1.82992,1.40831,1.36814,0.75513,0.59685,0.69251,0.33483,1.8976,1.84056,1.40992,0.00316388,0.00316388,0.00316388
5,845.892,1.76088,1.3155,1.33677,0.8015,0.68583,0.77999,0.40019,1.688,1.63999,1.30783,0.00315995,0.00315995,0.00315995
6,1011.28,1.70049,1.23886,1.30493,0.82325,0.71455,0.80812,0.42942,1.64395,1.73967,1.26922,0.00315602,0.00315602,0.00315602
7,1174.94,1.64632,1.18017,1.27544,0.84365,0.73926,0.83035,0.45077,1.59027,1.27244,1.2442,0.00315209,0.00315209,0.00315209
8,1337.09,1.6097,1.13851,1.25199,0.85094,0.75342,0.84527,0.47349,1.52339,1.22221,1.21307,0.00314816,0.00314816,0.00314816
9,1498.92,1.57315,1.10021,1.23478,0.87591,0.76213,0.86204,0.50054,1.46571,1.11318,1.17769,0.00314423,0.00314423,0.00314423
10,1658.02,1.54759,1.06699,1.22288,0.87596,0.78843,0.87428,0.51582,1.4315,1.10194,1.16664,0.0031403,0.0031403,0.0031403
11,1816.93,1.51748,1.0352,1.20679,0.88136,0.79903,0.88635,0.5312,1.39832,1.13437,1.14415,0.00313637,0.00313637,0.00313637
12,1977.07,1.49069,1.00355,1.19483,0.88803,0.80936,0.89304,0.5468,1.35749,0.98945,1.12787,0.00313244,0.00313244,0.00313244
13,2136.33,1.47522,0.98056,1.18701,0.89802,0.81558,0.89729,0.55417,1.34404,0.95925,1.11891,0.00312851,0.00312851,0.00312851
14,2296.07,1.45148,0.95445,1.17779,0.8932,0.82616,0.90274,0.56617,1.32409,0.91532,1.11021,0.00312458,0.00312458,0.00312458
15,2454.53,1.43645,0.93712,1.16907,0.89799,0.83015,0.90703,0.57427,1.29931,0.90738,1.10161,0.00312065,0.00312065,0.00312065
16,2613.34,1.41832,0.91365,1.16186,0.89952,0.84002,0.91181,0.58236,1.2791,0.88623,1.09336,0.00311672,0.00311672,0.00311672
17,2772.03,1.40289,0.89718,1.1494,0.90359,0.84097,0.91455,0.59014,1.26099,0.86463,1.08614,0.00311279,0.00311279,0.00311279
18,2930.19,1.38554,0.87955,1.1438,0.90744,0.84692,0.91701,0.59507,1.24997,0.8504,1.08088,0.00310886,0.00310886,0.00310886
19,3088.97,1.37455,0.86256,1.13531,0.90754,0.84873,0.91867,0.59896,1.24106,0.84008,1.07619,0.00310494,0.00310494,0.00310494
20,3247.84,1.36223,0.85314,1.13269,0.91111,0.84853,0.92042,0.60369,1.23074,0.82675,1.07156,0.00310101,0.00310101,0.00310101
21,3405.58,1.34846,0.83603,1.12381,0.91545,0.8492,0.92152,0.60689,1.22338,0.81831,1.06794,0.00309708,0.00309708,0.00309708
22,3565.56,1.33802,0.82599,1.1189,0.91455,0.85091,0.92261,0.60942,1.21558,0.80849,1.06438,0.00309315,0.00309315,0.00309315
23,3721.62,1.32315,0.81336,1.11216,0.91378,0.85316,0.9238,0.61228,1.20894,0.79892,1.06112,0.00308922,0.00308922,0.00308922
24,3879.63,1.30944,0.7995,1.1098,0.91528,0.85513,0.92512,0.61458,1.20407,0.78969,1.05903,0.00308529,0.00308529,0.00308529
25,4035.96,1.30712,0.79225,1.10528,0.91462,0.85785,0.92601,0.61698,1.19786,0.78122,1.05624,0.00308136,0.00308136,0.00308136
26,4192.79,1.29073,0.78452,1.10035,0.91501,0.86044,0.9267,0.61932,1.19268,0.77452,1.05411,0.00307743,0.00307743,0.00307743
27,4349.56,1.28851,0.77588,1.0981,0.91589,0.86228,0.92809,0.62198,1.18701,0.76744,1.05171,0.0030735,0.0030735,0.0030735
28,4505.46,1.27801,0.76915,1.09254,0.91556,0.86425,0.92927,0.62347,1.18149,0.76117,1.04941,0.00306957,0.00306957,0.00306957
29,4661.44,1.26851,0.75975,1.08915,0.91689,0.86643,0.93017,0.62619,1.17604,0.75464,1.04705,0.00306564,0.00306564,0.00306564
30,4817.83,1.26422,0.75584,1.08835,0.91617,0.86898,0.93131,0.62867,1.17054,0.74789,1.0448,0.00306171,0.00306171,0.00306171
31,4975.34,1.25215,0.74688,1.08321,0.91954,0.86888,0.93199,0.63071,1.16519,0.74232,1.04256,0.00305778,0.00305778,0.00305778
32,5132.64,1.24495,0.74135,1.07664,0.91915,0.87075,0.93274,0.63306,1.16046,0.73631,1.04029,0.00305385,0.00305385,0.00305385
33,5291.2,1.24429,0.73405,1.07776,0.92249,0.87038,0.93411,0.63546,1.15614,0.72913,1.03839,0.00304992,0.00304992,0.00304992
34,5447.82,1.22964,0.72724,1.07047,0.92255,0.87215,0.9348,0.63844,1.15094,0.72301,1.03623,0.00304599,0.00304599,0.00304599
35,5604.63,1.22472,0.72063,1.07103,0.92439,0.87231,0.93588,0.64081,1.14555,0.71554,1.03372,0.00304206,0.00304206,0.00304206
36,5760.61,1.21737,0.71597,1.06756,0.92641,0.87334,0.93685,0.64336,1.14086,0.71053,1.03155,0.00303813,0.00303813,0.00303813
37,5916.64,1.21284,0.70957,1.06541,0.92715,0.87562,0.9379,0.64578,1.13668,0.70468,1.02944,0.0030342,0.0030342,0.0030342
38,6071.63,1.20525,0.70394,1.06084,0.9259,0.87821,0.93885,0.64833,1.13141,0.6988,1.02717,0.00303027,0.00303027,0.00303027
39,6229.15,1.20136,0.69984,1.06116,0.92831,0.87814,0.9397,0.65096,1.1266,0.69332,1.02478,0.00302634,0.00302634,0.00302634
40,6384.97,1.19463,0.6953,1.05803,0.92986,0.87868,0.94095,0.65367,1.12233,0.68799,1.0227,0.00302241,0.00302241,0.00302241
41,6541,1.18801,0.69004,1.05312,0.93047,0.87971,0.9417,0.65535,1.11842,0.68314,1.02096,0.00301848,0.00301848,0.00301848
42,6696.48,1.18161,0.68533,1.05097,0.93257,0.87839,0.94201,0.65798,1.11402,0.67818,1.01883,0.00301455,0.00301455,0.00301455
