epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,191.617,1.55835,4.6767,1.51068,0.69985,0.49881,0.57392,0.23175,1.56964,5.64275,1.52924,0.000193385,0.000193385,0.0502503
2,382.249,1.43841,3.71513,1.42411,0.77141,0.59766,0.68866,0.30824,1.51472,4.47736,1.48216,0.000374221,0.000374221,0.000431168
3,573.64,1.3679,3.30749,1.38259,0.82817,0.69004,0.79191,0.3951,1.33416,4.03202,1.37611,0.000361656,0.000361656,0.000361656
4,763.101,1.30551,2.99697,1.33856,0.84979,0.74409,0.8378,0.43903,1.2688,3.37527,1.3125,0.000348878,0.000348878,0.000348878
5,951.684,1.25581,2.79047,1.30536,0.8698,0.77632,0.86358,0.47121,1.2044,3.0479,1.27455,0.0003361,0.0003361,0.0003361
6,1139.63,1.20952,2.6263,1.2717,0.88301,0.78276,0.87805,0.49526,1.16246,2.75806,1.23644,0.000323322,0.000323322,0.000323322
7,1326.81,1.17183,2.49028,1.24579,0.90243,0.80537,0.89476,0.52172,1.12455,2.51335,1.2051,0.000310544,0.000310544,0.000310544
8,1513.96,1.14323,2.37566,1.22262,0.89938,0.82681,0.9062,0.53793,1.08525,2.37242,1.17334,0.000297766,0.000297766,0.000297766
9,1701.43,1.11665,2.28429,1.20362,0.90933,0.83818,0.91569,0.56048,1.05192,2.28079,1.15559,0.000284988,0.000284988,0.000284988
10,1889.73,1.09273,2.2067,1.18833,0.91193,0.85581,0.92366,0.5756,1.01187,2.20789,1.1365,0.00027221,0.00027221,0.00027221
11,2077.95,1.07463,2.14808,1.17566,0.91634,0.86051,0.92775,0.58598,0.99725,2.09638,1.12071,0.000259432,0.000259432,0.000259432
12,2266.09,1.05298,2.07656,1.16072,0.92434,0.87,0.93314,0.60142,0.97245,2.02277,1.10659,0.000246654,0.000246654,0.000246654
13,2453.66,1.03206,2.02794,1.14896,0.931,0.8714,0.93599,0.60737,0.96057,1.96116,1.10029,0.000233876,0.000233876,0.000233876
14,2641.63,1.01496,1.97563,1.13974,0.93386,0.8795,0.93956,0.61823,0.93958,1.91641,1.08974,0.000221098,0.000221098,0.000221098
15,2829.48,0.99942,1.92198,1.13228,0.93557,0.88477,0.94274,0.62473,0.92689,1.86198,1.08138,0.00020832,0.00020832,0.00020832
16,3017.09,0.98039,1.87419,1.11929,0.93787,0.8876,0.94473,0.63079,0.91795,1.82188,1.07458,0.000195542,0.000195542,0.000195542
17,3204.69,0.9664,1.83892,1.10982,0.93933,0.89067,0.94577,0.63651,0.90705,1.79771,1.06812,0.000182764,0.000182764,0.000182764
18,3392.36,0.95081,1.80142,1.10288,0.94222,0.8926,0.94762,0.64159,0.89861,1.77508,1.0635,0.000169986,0.000169986,0.000169986
19,3579.15,0.93502,1.76037,1.0923,0.94446,0.8948,0.94836,0.64454,0.89243,1.75393,1.06003,0.000157208,0.000157208,0.000157208
20,3766.43,0.92168,1.72443,1.08522,0.94245,0.89741,0.94895,0.64736,0.88594,1.73267,1.05618,0.00014443,0.00014443,0.00014443
21,3986.68,0.91235,1.70324,1.07932,0.94307,0.89649,0.94942,0.6508,0.88011,1.71769,1.05261,0.000131652,0.000131652,0.000131652
22,4174.33,0.89242,1.66925,1.06905,0.94443,0.89816,0.95032,0.65319,0.87522,1.70245,1.04965,0.000118874,0.000118874,0.000118874
23,4362.12,0.88203,1.63667,1.06274,0.94616,0.89733,0.95104,0.65564,0.87101,1.692,1.04697,0.000106096,0.000106096,0.000106096
24,4550.12,0.86966,1.61232,1.05286,0.94645,0.89767,0.95132,0.65761,0.867,1.68159,1.04437,9.3318e-05,9.3318e-05,9.3318e-05
25,4739.53,0.85876,1.58863,1.04581,0.94705,0.89856,0.95187,0.6592,0.86338,1.67069,1.04199,8.05401e-05,8.05401e-05,8.05401e-05
26,4928.16,0.84463,1.55884,1.04064,0.94753,0.89992,0.95228,0.66112,0.85965,1.66303,1.03942,6.77621e-05,6.77621e-05,6.77621e-05
27,5116.27,0.8355,1.53752,1.03551,0.94882,0.90121,0.95312,0.66278,0.85617,1.65394,1.03695,5.49841e-05,5.49841e-05,5.49841e-05
