epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,416.636,2.22957,8.00859,1.77628,0.54133,0.35305,0.38643,0.15097,1.9288,14.942,1.49926,0.000685002,0.000685002,0.00074195
2,742.668,1.98977,6.15254,1.56931,0.6247,0.41655,0.47545,0.19846,1.83256,12.9529,1.4261,0.000617539,0.000617539,0.000617539
3,1076.92,1.91625,5.70425,1.51725,0.64981,0.44469,0.51526,0.22315,1.78767,9.91373,1.38378,0.000549685,0.000549685,0.000549685
4,1401.96,1.86852,5.43062,1.48146,0.69207,0.47859,0.56261,0.25461,1.74243,8.83925,1.35775,0.000481831,0.000481831,0.000481831
5,1670.36,1.83327,5.17965,1.45503,0.701,0.51155,0.59496,0.27248,1.71533,11.253,1.34306,0.000413977,0.000413977,0.000413977
6,1961.02,1.80178,5.05147,1.43899,0.72474,0.52536,0.61775,0.28989,1.68719,9.10341,1.32133,0.000346123,0.000346123,0.000346123
7,2287.22,1.77432,4.91054,1.41765,0.73256,0.53462,0.63252,0.29954,1.66604,7.96669,1.30993,0.000278269,0.000278269,0.000278269
8,2620.77,1.75965,4.81907,1.41102,0.74553,0.53986,0.64108,0.30579,1.65855,8.13669,1.30428,0.000210416,0.000210416,0.000210416
9,2950.93,1.74798,4.74399,1.40003,0.74788,0.54633,0.6509,0.31258,1.64582,8.27523,1.30157,0.000142562,0.000142562,0.000142562
10,3279.61,1.73066,4.67259,1.38644,0.74741,0.55357,0.65397,0.3164,1.63668,7.60355,1.29054,7.47078e-05,7.47078e-05,7.47078e-05
