epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
4,1011.61,2.36775,2.18172,1.54353,0.65101,0.35749,0.4219,0.19441,2.41566,3.05641,1.53396,0.000184262,0.000184262,0.000184262
5,1251.03,2.28538,2.05051,1.49392,0.64052,0.39383,0.46866,0.22441,2.25688,3.38337,1.4737,0.000158314,0.000158314,0.000158314
1,318.198,2.78028,2.86486,1.76415,0.34108,0.15774,0.13157,0.04765,3.26167,6.13709,2.10242,8.72701e-05,8.72701e-05,0.0667919
6,1507.45,2.20697,1.95538,1.45424,0.65738,0.41058,0.50412,0.24798,2.19293,2.80381,1.42681,0.000132365,0.000132365,0.000132365
2,573.206,2.58525,2.48395,1.64513,0.45004,0.22772,0.22458,0.08069,2.99953,4.54189,1.81962,0.00015735,0.00015735,0.0335286
7,1764.47,2.13297,1.87315,1.42258,0.69913,0.44387,0.54846,0.28113,2.10047,2.27598,1.3829,0.000106416,0.000106416,0.000106416
3,832.621,2.47702,2.31944,1.59436,0.57883,0.32562,0.37027,0.14766,2.59585,3.41805,1.55394,0.000210131,0.000210131,0.000248097
8,2023.71,2.07294,1.80045,1.38649,0.70628,0.46797,0.57444,0.3004,2.05485,2.34991,1.3514,8.04674e-05,8.04674e-05,8.04674e-05
4,1086.69,2.36775,2.18172,1.54353,0.65101,0.35749,0.4219,0.19441,2.41566,3.05641,1.53396,0.000184262,0.000184262,0.000184262
9,2283.77,2.01025,1.73349,1.35643,0.7116,0.48512,0.59246,0.31508,1.99964,2.19341,1.32894,5.45186e-05,5.45186e-05,5.45186e-05
5,1351.03,2.28538,2.05051,1.49392,0.64052,0.39383,0.46866,0.22441,2.25688,3.38337,1.4737,0.000158314,0.000158314,0.000158314
10,2542.84,1.9628,1.68309,1.33204,0.72387,0.49146,0.60507,0.32495,1.97834,2.14632,1.31667,2.85699e-05,2.85699e-05,2.85699e-05
6,1570.47,2.20697,1.95538,1.45424,0.65738,0.41058,0.50412,0.24798,2.19293,2.80381,1.42681,0.000132365,0.000132365,0.000132365
7,1795.25,2.13297,1.87315,1.42258,0.69913,0.44387,0.54846,0.28113,2.10047,2.27598,1.3829,0.000106416,0.000106416,0.000106416
8,2046.32,2.07294,1.80045,1.38649,0.70628,0.46797,0.57444,0.3004,2.05485,2.34991,1.3514,8.04674e-05,8.04674e-05,8.04674e-05
9,2301.88,2.01025,1.73349,1.35643,0.7116,0.48512,0.59246,0.31508,1.99964,2.19341,1.32894,5.45186e-05,5.45186e-05,5.45186e-05
10,2558.17,1.9628,1.68309,1.33204,0.72387,0.49146,0.60507,0.32495,1.97834,2.14632,1.31667,2.85699e-05,2.85699e-05,2.85699e-05
