epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,269.154,3.11161,5.34123,2.94613,0,0,0,0,3.16589,9.55578,2.92575,0.0426772,0.0426772,0.0426772
2,490.057,2.59387,3.98815,2.54823,0.56964,0.12669,0.08449,0.02561,2.83616,14.8577,2.54653,0.0387732,0.0387732,0.0387732
3,720.716,2.43303,3.63243,2.37503,0.60517,0.13064,0.10027,0.02717,2.71144,8.89558,2.38302,0.0348691,0.0348691,0.0348691
4,951.378,2.35526,3.4903,2.29919,0.76514,0.13418,0.1171,0.03271,2.8632,6.53328,2.57124,0.030965,0.030965,0.030965
5,1177.16,2.318,3.37403,2.25511,0.72949,0.17312,0.14307,0.04247,2.56101,6.71227,2.26422,0.027061,0.027061,0.027061
6,1399.71,2.26663,3.2907,2.21368,0.71404,0.22234,0.18955,0.05812,2.5009,7.3425,2.24213,0.0231569,0.0231569,0.0231569
7,1597.61,2.22031,3.20235,2.16426,0.66274,0.26448,0.22254,0.06765,2.48889,9.51682,2.19766,0.0192529,0.0192529,0.0192529
8,1771.7,2.18211,3.11612,2.12263,0.74661,0.2734,0.24588,0.08932,2.39705,7.64407,2.12799,0.0153488,0.0153488,0.0153488
9,1993.55,2.13797,3.02347,2.08592,0.72234,0.33331,0.29603,0.10927,2.33909,6.84569,2.08415,0.0114448,0.0114448,0.0114448
10,2216.73,2.08766,2.91139,2.04336,0.75802,0.3314,0.30277,0.11688,2.29159,5.23037,2.02605,0.00754073,0.00754073,0.00754073
